pair,arm,turn,item,wording,reverse_scored,letter,raw_score,oriented_score,parsed,compliance,answer_text
0,asked,5,1,a,True,D,3,1,True,conforming,D
0,asked,5,1,b,True,D,3,1,True,conforming,D
0,asked,5,2,a,False,D,3,3,True,conforming,D
0,asked,5,2,b,False,C,2,2,True,conforming,C
0,asked,5,3,a,True,C,2,2,True,conforming,C
0,asked,5,3,b,True,C,2,2,True,conforming,C
0,asked,5,4,a,False,C,2,2,True,conforming,C
0,asked,5,4,b,False,C,2,2,True,conforming,C
0,asked,5,5,a,False,C,2,2,True,conforming,C
0,asked,5,5,b,False,D,3,3,True,conforming,D
0,asked,5,6,a,True,D,3,1,True,conforming,D
0,asked,5,6,b,True,D,3,1,True,conforming,D
0,asked,5,7,a,False,D,3,3,True,conforming,D
0,asked,5,7,b,False,E,4,4,True,conforming,E
0,asked,20,1,a,True,C,2,2,True,conforming,C
0,asked,20,1,b,True,D,3,1,True,conforming,D
0,asked,20,2,a,False,D,3,3,True,conforming,D
0,asked,20,2,b,False,C,2,2,True,conforming,C
0,asked,20,3,a,True,C,2,2,True,conforming,C
0,asked,20,3,b,True,C,2,2,True,conforming,C
0,asked,20,4,a,False,C,2,2,True,conforming,C
0,asked,20,4,b,False,E,4,4,True,conforming,E
0,asked,20,5,a,False,C,2,2,True,conforming,C
0,asked,20,5,b,False,E,4,4,True,conforming,E
0,asked,20,6,a,True,C,2,2,True,conforming,C
0,asked,20,6,b,True,E,4,0,True,conforming,E
0,asked,20,7,a,False,E,4,4,True,conforming,E
0,asked,20,7,b,False,E,4,4,True,conforming,E
0,asked,50,1,a,True,E,4,0,True,conforming,E
0,asked,50,1,b,True,D,3,1,True,conforming,D
0,asked,50,2,a,False,D,3,3,True,conforming,D
0,asked,50,2,b,False,C,2,2,True,conforming,C
0,asked,50,3,a,True,C,2,2,True,conforming,C
0,asked,50,3,b,True,A,0,4,True,conforming,A
0,asked,50,4,a,False,C,2,2,True,conforming,C
0,asked,50,4,b,False,C,2,2,True,conforming,C
0,asked,50,5,a,False,C,2,2,True,conforming,C
0,asked,50,5,b,False,E,4,4,True,conforming,E
0,asked,50,6,a,True,D,3,1,True,conforming,D
0,asked,50,6,b,True,E,4,0,True,conforming,E
0,asked,50,7,a,False,E,4,4,True,conforming,E
0,asked,50,7,b,False,E,4,4,True,conforming,E
0,asked_other,5,1,a,True,D,3,1,True,conforming,D
0,asked_other,5,1,b,True,E,4,0,True,conforming,E
0,asked_other,5,2,a,False,D,3,3,True,conforming,D
0,asked_other,5,2,b,False,C,2,2,True,conforming,C
0,asked_other,5,3,a,True,C,2,2,True,conforming,C
0,asked_other,5,3,b,True,C,2,2,True,conforming,C
0,asked_other,5,4,a,False,C,2,2,True,conforming,C
0,asked_other,5,4,b,False,C,2,2,True,conforming,C
0,asked_other,5,5,a,False,C,2,2,True,conforming,C
0,asked_other,5,5,b,False,D,3,3,True,conforming,D
0,asked_other,5,6,a,True,D,3,1,True,conforming,D
0,asked_other,5,6,b,True,E,4,0,True,conforming,E
0,asked_other,5,7,a,False,D,3,3,True,conforming,D
0,asked_other,5,7,b,False,E,4,4,True,conforming,E
0,asked_other,20,1,a,True,C,2,2,True,conforming,C
0,asked_other,20,1,b,True,D,3,1,True,conforming,D
0,asked_other,20,2,a,False,E,4,4,True,conforming,E
0,asked_other,20,2,b,False,C,2,2,True,conforming,C
0,asked_other,20,3,a,True,C,2,2,True,conforming,C
0,asked_other,20,3,b,True,C,2,2,True,conforming,C
0,asked_other,20,4,a,False,C,2,2,True,conforming,C
0,asked_other,20,4,b,False,C,2,2,True,conforming,C
