pair,arm,turn,pretreatment_null,n_ctx,n_active_features,sae_layer,sae_n_features
0,asked,0,True,39,73,24,16384
0,asked,5,False,662,62,24,16384
0,asked,20,False,2891,69,24,16384
0,asked,50,False,7122,68,24,16384
0,asked_other,0,True,39,73,24,16384
0,asked_other,5,False,722,60,24,16384
0,asked_other,20,False,3051,72,24,16384
0,asked_other,50,False,7405,65,24,16384
0,task,0,True,39,73,24,16384
0,task,5,False,400,62,24,16384
0,task,20,False,1784,71,24,16384
0,task,50,False,4309,70,24,16384
1,asked,0,True,39,73,24,16384
1,asked,5,False,941,74,24,16384
1,asked,20,False,3268,69,24,16384
1,asked,50,False,7854,67,24,16384
1,asked_other,0,True,39,73,24,16384
1,asked_other,5,False,883,64,24,16384
1,asked_other,20,False,3219,61,24,16384
1,asked_other,50,False,7825,58,24,16384
1,task,0,True,39,73,24,16384
1,task,5,False,651,63,24,16384
1,task,20,False,2089,60,24,16384
1,task,50,False,4855,68,24,16384
2,asked,0,True,39,73,24,16384
2,asked,5,False,807,75,24,16384
2,asked,20,False,2980,74,24,16384
2,asked,50,False,7500,73,24,16384
2,asked_other,0,True,39,73,24,16384
2,asked_other,5,False,808,74,24,16384
2,asked_other,20,False,2992,76,24,16384
2,asked_other,50,False,7540,70,24,16384
2,task,0,True,39,73,24,16384
2,task,5,False,512,77,24,16384
2,task,20,False,1710,71,24,16384
2,task,50,False,4331,69,24,16384
3,asked,0,True,39,73,24,16384
3,asked,5,False,755,70,24,16384
3,asked,20,False,3077,73,24,16384
3,asked,50,False,7490,69,24,16384
3,asked_other,0,True,39,73,24,16384
3,asked_other,5,False,826,65,24,16384
3,asked_other,20,False,3392,59,24,16384
3,asked_other,50,False,8296,61,24,16384
3,task,0,True,39,73,24,16384
3,task,5,False,453,64,24,16384
3,task,20,False,1891,76,24,16384
3,task,50,False,4452,67,24,16384
4,asked,0,True,39,73,24,16384
4,asked,5,False,914,59,24,16384
4,asked,20,False,3216,66,24,16384
4,asked,50,False,7862,67,24,16384
4,asked_other,0,True,39,73,24,16384
4,asked_other,5,False,975,60,24,16384
4,asked_other,20,False,3354,57,24,16384
4,asked_other,50,False,8146,62,24,16384
4,task,0,True,39,73,24,16384
4,task,5,False,644,58,24,16384
4,task,20,False,2088,53,24,16384
4,task,50,False,4983,66,24,16384
5,asked,0,True,39,73,24,16384
5,asked,5,False,821,63,24,16384
