id,pair,arm,model,plan_sha256,run_config_sha256,questions_sha256,n_messages,n_reads
p000_asked,0,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p000_asked_other,0,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p000_task,0,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p001_asked,1,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p001_asked_other,1,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p001_task,1,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p002_asked,2,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p002_asked_other,2,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p002_task,2,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p003_asked,3,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p003_asked_other,3,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p003_task,3,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p004_asked,4,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p004_asked_other,4,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p004_task,4,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p005_asked,5,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p005_asked_other,5,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p005_task,5,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p006_asked,6,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p006_asked_other,6,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p006_task,6,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p007_asked,7,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p007_asked_other,7,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p007_task,7,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p008_asked,8,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p008_asked_other,8,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p008_task,8,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
